player,draft_year,pro_height_inches,pro_weight_lb,date_of_birth
john-henson,2012,81,219,1990-12-28
maurice-harkless,2012,79,220,1993-05-11
royce-white,2012,80,270,1991-04-10
tyler-zeller,2012,84,253,1990-01-17
terrence-jones,2012,81,252,1992-01-09
andrew-nicholson,2012,81,250,1989-12-08
evan-fournier,2012,79,205,1992-10-29
jared-sullinger,2012,81,260,1992-03-04
fab-melo,2012,84,255,1990-06-20
john-jenkins,2012,76,215,1991-03-06
jared-cunningham,2012,76,195,1991-05-22
tony-wroten,2012,78,205,1993-04-13
miles-plumlee,2012,83,249,1988-09-01
arnett-moultrie,2012,83,249,1990-11-18
perry-jones,2012,83,235,1991-09-24
marquis-teague,2012,74,189,1993-02-28
festus-ezeli,2012,83,255,1989-10-21
jeff-taylor,2012,79,225,1989-05-23
tomas-satoransky,2012,79,210,1991-10-30
bernard-james,2012,82,240,1985-02-07
jae-crowder,2012,78,235,1990-07-06
draymond-green,2012,78,230,1990-03-04
orlando-johnson,2012,77,220,1989-03-11
quincy-acy,2012,79,240,1990-10-06
quincy-miller,2012,81,210,1992-11-18
khris-middleton,2012,79,222,1991-08-12
will-barton,2012,78,181,1991-01-06
tyshawn-taylor,2012,75,185,1990-04-12
doron-lamb,2012,76,210,1991-11-06
mike-scott,2012,79,237,1988-07-16
kim-english,2012,78,200,1988-09-24
justin-hamilton,2012,84,260,1990-04-01
darius-miller,2012,78,225,1990-03-21
kevin-murphy,2012,77,185,1990-03-06
kostas-papanikolaou,2012,80,225,1990-07-31
kyle-o'quinn,2012,81,250,1990-03-26
izzet-turkylmaz,2012,84,210,1990-05-20
kris-joseph,2012,79,210,1988-12-17
ognjen-kuzmic,2012,85,251,1990-05-16
furkan-aldemir,2012,82,240,1991-08-09
tornike-shengelia,2012,81,217,1991-10-05
darius-johnson-odom,2012,74,215,1989-09-28
tomislav-zubcic,2012,83,212,1990-01-07
ilkan-karaman,2012,81,254,1990-05-13
robbie-hummel,2012,80,215,1989-03-08
marcus-denmon,2012,75,185,1990-03-20
robert-sacre,2012,84,270,1989-06-06
anthony-bennett,2013,80,245,1993-03-14
victor-oladipo,2013,76,213,1992-05-04
otto-porter,2013,80,198,1993-06-03
cody-zeller,2013,83,240,1992-10-05
alex-len,2013,84,250,1993-06-16
nerlens-noel,2013,83,220,1994-04-10
ben-mclemore,2013,75,195,1993-02-11
kentavious-caldwell-pope,2013,77,204,1993-02-18
trey-burke,2013,72,185,1992-11-12
cj-mccollum,2013,75,190,1991-09-19
michael-carter-williams,2013,77,190,1991-10-10
steven-adams,2013,83,265,1993-07-20
kelly-olynyk,2013,83,240,1991-04-19
shabazz-muhammad,2013,78,223,1992-11-13
giannis-antetokounmpo,2013,83,242,1994-12-06
lucas-nogueira,2013,84,241,1992-07-26
dennis-schroder,2013,75,172,1993-09-15
shane-larkin,2013,71,175,1992-10-02
sergey-karasev,2013,79,208,1993-10-26
tony-snell,2013,78,213,1991-11-10
gorgui-dieng,2013,82,252,1990-01-18
mason-plumlee,2013,83,254,1990-03-05
solomon-hill,2013,78,226,1991-03-18
tim-hardaway-jr.,2013,77,205,1992-03-16
reggie-bullock,2013,78,205,1991-03-16
andre-roberson,2013,79,210,1991-12-04
rudy-gobert,2013,84,258,1992-06-26
livio-jean-charles,2013,81,230,1993-11-08
