team,player,college
DET,tony-mitchell,University of North Texas
WAS,nate-wolters,South Dakota State
POR,jeff-withey,Kansas
POR,grant-jerrett,Arizona
MEM,jamaal-franklin,San Diego State
PHI,pierre-jackson,Baylor
MIL,ricky-ledo,Providence
DAL,mike-muscala,Bucknell
POR,marko-todorovic,
UTA,erick-green,Virginia Tech
ATL,raul-neto,
LAL,ryan-kelly,Duke
CHI,erik-murphy,Florida
ATL,james-ennis,Cal State Long Beach
ORL,romero-osby,Oklahoma
MIN,lorenzo-brown,NC State
IND,colton-iverson,Colorado State
WAS,arsalan-kazemi,Oregon
MEM,joffrey-lauvergne,
DET,peyton-siva,Louisville
PHO,alex-oriakhi,Missouri
SAS,deshaun-thomas,Ohio State
MIN,bojan-dubljevic,
MEM,janis-timma,
CLE,andrew-wiggins,Kansas
MIL,jabari-parker,Duke
PHI,joel-embiid,Kansas
ORL,aaron-gordon,Arizona
UTA,dante-exum,
BOS,marcus-smart,Oklahoma State
LAL,julius-randle,Kentucky
SAC,nik-stauskas,Michigan
CHH,noah-vonleh,Indiana
PHI,elfrid-payton,Louisiana
DEN,doug-mcdermott,Creighton
ORL,dario-saric,
MIN,zach-lavine,UCLA
PHO,t.j.-warren,NC State
ATL,adreian-payne,Michigan State
CHI,jusuf-nurkic,
BOS,james-young,Kentucky
PHO,tyler-ennis,Syracuse
CHI,gary-harris,Michigan State
TOR,bruno-caboclo,
OKC,mitch-mcgary,Michigan
MEM,jordan-adams,UCLA
UTA,rodney-hood,Duke
CHH,shabazz-napier,UConn
HOU,clint-capela,
MIA,p.j.-hairston,UNC
PHO,bogdan-bogdanovic,
LAC,c.j.-wilcox,Washington
OKC,josh-huestis,Stanford
SAS,kyle-anderson,UCLA
MIL,damien-inglis,
PHI,k.j.-mcdaniels,Clemson
CLE,joe-harris,Virginia
NYK,cleanthony-early,Wichita State
UTA,jarnell-stokes,Tennessee
MIL,johnny-o'bryant,LSU
TOR,deandre-daniels,UConn
DET,spencer-dinwiddie,Colorado
PHI,jerami-grant,Syracuse
MIN,glenn-robinson-iii,Michigan
