College,Year,Games,Wins
Northern Iowa,2017,29,14
Southern Illinois,2017,32,17
Bradley,2018,32,20
Drake,2018,33,17
Evansville,2018,30,17
Illinois St.,2018,32,18
Indiana St.,2018,29,13
Missouri St.,2018,32,18
Northern Iowa,2018,30,16
Southern Illinois,2018,32,20
Valparaiso,2018,30,15
Drake,2019,32,24
Evansville,2019,30,11
Illinois St.,2019,32,17
Indiana St.,2019,29,15
Loyola Chicago,2019,33,20
Missouri St.,2019,31,16
Northern Iowa,2019,32,16
Southern Illinois,2019,32,17
Valparaiso,2019,31,15
Air Force,2015,29,12
Colorado St.,2015,33,26
Fresno St.,2015,30,13
Nevada,2015,29,7
New Mexico,2015,31,15
San Jose St.,2015,28,0
UNLV,2015,32,17
Utah St.,2015,30,17
Air Force,2016,30,12
Boise St.,2016,30,18
Colorado St.,2016,32,16
Nevada,2016,36,22
New Mexico,2016,32,17
San Diego St.,2016,36,26
San Jose St.,2016,28,6
UNLV,2016,31,16
Utah St.,2016,29,14
Wyoming,2016,30,12
Air Force,2017,31,12
Boise St.,2017,31,20
Colorado St.,2017,34,24
Fresno St.,2017,31,20
New Mexico,2017,31,17
San Diego St.,2017,32,19
San Jose St.,2017,28,14
UNLV,2017,32,11
Utah St.,2017,30,15
Wyoming,2017,36,23
Air Force,2018,29,12
Boise St.,2018,31,23
Colorado St.,2018,31,11
Fresno St.,2018,30,21
New Mexico,2018,33,19
San Jose St.,2018,29,4
UNLV,2018,33,20
Utah St.,2018,33,17
Wyoming,2018,32,20
Air Force,2019,31,14
Boise St.,2019,32,13
Colorado St.,2019,31,12
Fresno St.,2019,31,23
New Mexico,2019,31,14
San Diego St.,2019,33,21
San Jose St.,2019,30,4
UNLV,2019,31,17
Wyoming,2019,31,8
Bryant,2015,31,16
Central Connecticut,2015,31,5
Fairleigh Dickinson,2015,28,7
LIU Brooklyn,2015,30,12
Mount St. Mary's,2015,30,15
Sacred Heart,2015,31,14
St. Francis NY,2015,34,22
St. Francis PA,2015,31,15
Wagner,2015,29,9
Bryant,2016,30,7
Central Connecticut,2016,29,4
LIU Brooklyn,2016,31,16
Mount St. Mary's,2016,33,14
Robert Morris,2016,32,10
Sacred Heart,2016,30,12
St. Francis NY,2016,31,14
St. Francis PA,2016,29,12
Wagner,2016,33,22
Bryant,2017,31,12
Central Connecticut,2017,29,6
Fairleigh Dickinson,2017,29,11
LIU Brooklyn,2017,31,20
Robert Morris,2017,33,14
Sacred Heart,2017,32,13
St. Francis NY,2017,30,4
St. Francis PA,2017,33,17
Wagner,2017,29,16
Bryant,2018,31,3
Central Connecticut,2018,32,14
Fairleigh Dickinson,2018,29,13
Mount St. Mary's,2018,30,18
Robert Morris,2018,33,16
Sacred Heart,2018,30,10
St. Francis NY,2018,29,13
St. Francis PA,2018,29,18
Wagner,2018,31,23
Bryant,2019,30,10
Central Connecticut,2019,29,11
LIU Brooklyn,2019,31,16
Mount St. Mary's,2019,29,9
Robert Morris,2019,33,18
Sacred Heart,2019,31,15
St. Francis NY,2019,31,17
St. Francis PA,2019,31,18
Wagner,2019,28,13
Austin Peay,2015,28,6
Eastern Illinois,2015,31,16
Eastern Kentucky,2015,31,19
Jacksonville St.,2015,29,10
Morehead St.,2015,32,15
Murray St.,2015,33,27
SIU Edwardsville,2015,26,10
Southeast Missouri St.,2015,28,11
Tennessee Martin,2015,32,19
Tennessee St.,2015,29,3
Tennessee Tech,2015,28,10
Belmont,2016,31,19
Eastern Illinois,2016,28,11
Eastern Kentucky,2016,30,14
Jacksonville St.,2016,29,7
Morehead St.,2016,35,21
Murray St.,2016,29,15
SIU Edwardsville,2016,28,6
Southeast Missouri St.,2016,27,3
Tennessee Martin,2016,33,18
Tennessee St.,2016,29,18
Tennessee Tech,2016,29,17
Austin Peay,2017,28,11
Belmont,2017,29,23
Eastern Illinois,2017,27,14
Eastern Kentucky,2017,29,12
Morehead St.,2017,28,14
Murray St.,2017,31,16
SIU Edwardsville,2017,28,6
Southeast Missouri St.,2017,31,15
Tennessee Martin,2017,33,22
Tennessee St.,2017,28,17
Tennessee Tech,2017,30,12
Austin Peay,2018,32,19
Belmont,2018,33,24
Eastern Illinois,2018,29,12
Eastern Kentucky,2018,29,11
Jacksonville St.,2018,35,23
Morehead St.,2018,27,8
SIU Edwardsville,2018,30,9
Southeast Missouri St.,2018,29,14
Tennessee Martin,2018,29,10
Tennessee St.,2018,28,15
Tennessee Tech,2018,31,19
Austin Peay,2019,31,22
Eastern Illinois,2019,31,14
Eastern Kentucky,2019,29,13
Jacksonville St.,2019,31,24
Morehead St.,2019,31,13
SIU Edwardsville,2019,29,10
Southeast Missouri St.,2019,29,10
Tennessee Martin,2019,29,12
Tennessee St.,2019,28,9
Tennessee Tech,2019,29,8
Arizona St.,2015,34,18
California,2015,33,18
Colorado,2015,34,16
Oregon St.,2015,30,16
Stanford,2015,37,24
USC,2015,32,12
Washington,2015,31,16
Washington St.,2015,31,13
Arizona St.,2016,32,15
Stanford,2016,29,14
UCLA,2016,32,15
